INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
INFO:atroposlib.envs.base:env_manager: Status dict: {'current_step': 0, 'queue_size': 0, 'unallocated_fraction': 1.0, 'self_queue_size': 0, 'max_group_size': 1, 'env_weight': 1.0}
